step,mloss,gloss,loss
100.0,1.2076,20.3522,21.5598
200.0,1.1165,1.0026,2.1191
300.0,1.0533,1.0089,2.0622
400.0,0.9106,0.9885,1.8991
500.0,0.978,0.9861,1.9641
600.0,0.9067,0.9844,1.8911
700.0,0.9039,0.9834,1.8873
800.0,0.9168,0.9822,1.899
900.0,0.8984,0.9791,1.8775
1000.0,0.8949,0.9842,1.8791
